Liman Adı,Tarih,Şehir,İlçe,Saat,Sıcaklık,Rüzgar,Rüzgar yönü,Basınç,Nem
EZİNE/GEYİKLİ ODUNLUK İSKELE FENERİ,06 Eylül,Çanakkale,Ezine,10.06,27.6,3.3,Kuzeydoğudan,1013.3,43
BODRUM YALIKAVAK GEMİTAŞI FENER,06 Eylül,Muğla,Bodrum,10.06,27.8,4.1,Kuzeybatıdan,1009.6,71
EZİNE YENİKÖY BAL.BAR. ANA MENDİREK FENERİ,06 Eylül,Çanakkale,Ezine,10.06,25.4,6.2,Kuzeyden,1012.5,61
VAN LİMAN,06 Eylül,Van,Tuşba,10.06,22.2,4.9,Batıdan,1005.8,53
ADİLCEVAZ LİMAN,06 Eylül,Bitlis,Adilcevaz,10.06,22.4,5.6,Güneydoğudan,1004.2,49
ÇAYELİ BALIKÇI BARINAĞI TALİ MENDİREK FENER,06 Eylül,Rize,Çayeli,10.06,23.2,6.0,Güneybatıdan,1006.1,100
SİLİVRİ TPAO ŞAMANDIRA,06 Eylül,İstanbul,Silivri,10.06,25.2,7.4,Kuzeydoğudan,1015.2,60
SİLİFKE/TAŞUCU AÇIKLARI ŞAMANDIRA,06 Eylül,Mersin,Silifke,10.06,29.7,8.4,Doğudan,1007.6,63
AKÇAKOCA FENERİ,06 Eylül,Düzce,Akçakoca,10.06,23.8,4.3,Kuzeybatıdan,1013.2,77
URLA BALIKÇI BARINAĞI MENDİREK FENERİ,06 Eylül,İzmir,Urla,10.06,26.5,14.8,Kuzeyden,1011.4,46
GÜZELBAHÇE FENERİ,06 Eylül,İzmir,Güzelbahçe,10.06,25.8,2.5,Kuzeyden,1012.0,55
KARABURUN/MORDOĞAN ANA MENDİREK (KUZEY) FENERİ,06 Eylül,İzmir,Karaburun,10.06,25.9,13.8,Kuzeybatıdan,1012.1,62
MARMARA EREĞLİSİ BAL.BAR.ANA MENDİREK FENERİ,06 Eylül,Tekirdağ,Marmaraereğlisi,10.06,24.3,8.6,Doğudan,1014.3,72
SİNOP İNCEBURUN FENER,06 Eylül,Sinop,Merkez,10.06,25.3,3.7,Kuzeybatıdan,1011.8,71
GERZE KÖŞKBURNU FENERİ,06 Eylül,Sinop,Gerze,10.06,24.6,6.0,Kuzeyden,1012.9,72
BAFRA BURNU FENERİ,06 Eylül,Samsun,Bafra,10.06,23.9,8.9,Güneybatıdan,1013.7,77
İLKADIM/SAMSUN LİMAN KUZEY MENDİREK FENER,06 Eylül,Samsun,İlkadım,10.06,24.5,7.0,Kuzeyden,1014.9,77
PİRAZİZBURNU FENERİ,06 Eylül,Giresun,Piraziz,10.06,24.8,4.1,Kuzeyden,1005.8,79
